['D27', '天津西', '哈尔滨西', '天津西', '滨海西', '', '¥21.0', '¥13.5', '', '', '', '', '', '', '¥13.5']
['D27', '天津西', '哈尔滨西', '天津西', '唐山', '', '¥58.5', '¥36.5', '', '', '', '', '', '', '¥36.5']
['D27', '天津西', '哈尔滨西', '天津西', '滦河', '', '¥89.0', '¥55.5', '', '', '', '', '', '', '¥55.5']
['D27', '天津西', '哈尔滨西', '天津西', '秦皇岛', '', '¥131.5', '¥82.0', '', '', '', '', '', '', '¥82.0']
['D27', '天津西', '哈尔滨西', '天津西', '绥中北', '', '¥169.5', '¥105.5', '', '', '', '', '', '', '¥105.5']
['D27', '天津西', '哈尔滨西', '天津西', '葫芦岛北', '', '¥197.5', '¥123.0', '', '', '', '', '', '', '¥123.0']
['D27', '天津西', '哈尔滨西', '天津西', '沈阳北', '', '¥321.5', '¥201.0', '', '', '', '', '', '', '¥201.0']
['D27', '天津西', '哈尔滨西', '天津西', '长春西', '', '¥468.5', '¥293.0', '', '', '', '', '', '', '¥293.0']
['D27', '天津西', '哈尔滨西', '天津西', '德惠西', '', '¥510.0', '¥319.0', '', '', '', '', '', '', '¥319.0']
['D27', '天津西', '哈尔滨西', '天津西', '哈尔滨西', '', '¥587.0', '¥367.0', '', '', '', '', '', '', '¥367.0']
['D27', '天津西', '哈尔滨西', '滨海西', '唐山', '', '¥37.5', '¥23.5', '', '', '', '', '', '', '¥23.5']
['D27', '天津西', '哈尔滨西', '滨海西', '滦河', '', '¥67.5', '¥42.5', '', '', '', '', '', '', '¥42.5']
['D27', '天津西', '哈尔滨西', '滨海西', '秦皇岛', '', '¥110.0', '¥69.0', '', '', '', '', '', '', '¥69.0']
['D27', '天津西', '哈尔滨西', '滨海西', '绥中北', '', '¥148.0', '¥92.5', '', '', '', '', '', '', '¥92.5']
['D27', '天津西', '哈尔滨西', '滨海西', '葫芦岛北', '', '¥176.0', '¥110.0', '', '', '', '', '', '', '¥110.0']
['D27', '天津西', '哈尔滨西', '滨海西', '沈阳北', '', '¥300.0', '¥188.0', '', '', '', '', '', '', '¥188.0']
['D27', '天津西', '哈尔滨西', '滨海西', '长春西', '', '¥447.0', '¥280.0', '', '', '', '', '', '', '¥280.0']
['D27', '天津西', '哈尔滨西', '滨海西', '德惠西', '', '¥488.5', '¥306.0', '', '', '', '', '', '', '¥306.0']
['D27', '天津西', '哈尔滨西', '滨海西', '哈尔滨西', '', '¥565.5', '¥354.0', '', '', '', '', '', '', '¥354.0']
['D27', '天津西', '哈尔滨西', '唐山', '滦河', '', '¥30.0', '¥19.0', '', '', '', '', '', '', '¥19.0']
['D27', '天津西', '哈尔滨西', '唐山', '秦皇岛', '', '¥72.5', '¥45.5', '', '', '', '', '', '', '¥45.5']
['D27', '天津西', '哈尔滨西', '唐山', '绥中北', '', '¥110.5', '¥69.0', '', '', '', '', '', '', '¥69.0']
['D27', '天津西', '哈尔滨西', '唐山', '葫芦岛北', '', '¥138.5', '¥86.5', '', '', '', '', '', '', '¥86.5']
['D27', '天津西', '哈尔滨西', '唐山', '沈阳北', '', '¥262.5', '¥164.5', '', '', '', '', '', '', '¥164.5']
['D27', '天津西', '哈尔滨西', '唐山', '长春西', '', '¥409.5', '¥256.5', '', '', '', '', '', '', '¥256.5']
['D27', '天津西', '哈尔滨西', '唐山', '德惠西', '', '¥451.0', '¥282.5', '', '', '', '', '', '', '¥282.5']
['D27', '天津西', '哈尔滨西', '唐山', '哈尔滨西', '', '¥528.0', '¥330.5', '', '', '', '', '', '', '¥330.5']
['D27', '天津西', '哈尔滨西', '滦河', '秦皇岛', '', '¥42.5', '¥26.5', '', '', '', '', '', '', '¥26.5']
['D27', '天津西', '哈尔滨西', '滦河', '绥中北', '', '¥80.5', '¥50.0', '', '', '', '', '', '', '¥50.0']
['D27', '天津西', '哈尔滨西', '滦河', '葫芦岛北', '', '¥108.5', '¥67.5', '', '', '', '', '', '', '¥67.5']
['D27', '天津西', '哈尔滨西', '滦河', '沈阳北', '', '¥232.5', '¥145.5', '', '', '', '', '', '', '¥145.5']
['D27', '天津西', '哈尔滨西', '滦河', '长春西', '', '¥379.5', '¥237.5', '', '', '', '', '', '', '¥237.5']
['D27', '天津西', '哈尔滨西', '滦河', '德惠西', '', '¥421.0', '¥263.5', '', '', '', '', '', '', '¥263.5']
['D27', '天津西', '哈尔滨西', '滦河', '哈尔滨西', '', '¥498.0', '¥311.5', '', '', '', '', '', '', '¥311.5']
['D27', '天津西', '哈尔滨西', '秦皇岛', '绥中北', '', '¥43.0', '¥26.5', '', '', '', '', '', '', '¥26.5']
['D27', '天津西', '哈尔滨西', '秦皇岛', '葫芦岛北', '', '¥71.0', '¥44.0', '', '', '', '', '', '', '¥44.0']
['D27', '天津西', '哈尔滨西', '秦皇岛', '沈阳北', '', '¥195.0', '¥122.0', '', '', '', '', '', '', '¥122.0']
['D27', '天津西', '哈尔滨西', '秦皇岛', '长春西', '', '¥342.0', '¥214.0', '', '', '', '', '', '', '¥214.0']
['D27', '天津西', '哈尔滨西', '秦皇岛', '德惠西', '', '¥383.5', '¥240.0', '', '', '', '', '', '', '¥240.0']
['D27', '天津西', '哈尔滨西', '秦皇岛', '哈尔滨西', '', '¥460.5', '¥288.0', '', '', '', '', '', '', '¥288.0']
['D27', '天津西', '哈尔滨西', '绥中北', '葫芦岛北', '', '¥28.0', '¥17.0', '', '', '', '', '', '', '¥17.0']
['D27', '天津西', '哈尔滨西', '绥中北', '沈阳北', '', '¥152.0', '¥95.5', '', '', '', '', '', '', '¥95.5']
['D27', '天津西', '哈尔滨西', '绥中北', '长春西', '', '¥299.0', '¥187.5', '', '', '', '', '', '', '¥187.5']
['D27', '天津西', '哈尔滨西', '绥中北', '德惠西', '', '¥340.5', '¥213.5', '', '', '', '', '', '', '¥213.5']
['D27', '天津西', '哈尔滨西', '绥中北', '哈尔滨西', '', '¥417.5', '¥261.5', '', '', '', '', '', '', '¥261.5']
['D27', '天津西', '哈尔滨西', '葫芦岛北', '沈阳北', '', '¥124.0', '¥78.0', '', '', '', '', '', '', '¥78.0']
['D27', '天津西', '哈尔滨西', '葫芦岛北', '长春西', '', '¥271.0', '¥170.0', '', '', '', '', '', '', '¥170.0']
['D27', '天津西', '哈尔滨西', '葫芦岛北', '德惠西', '', '¥312.5', '¥196.0', '', '', '', '', '', '', '¥196.0']
['D27', '天津西', '哈尔滨西', '葫芦岛北', '哈尔滨西', '', '¥389.5', '¥244.0', '', '', '', '', '', '', '¥244.0']
['D27', '天津西', '哈尔滨西', '沈阳北', '长春西', '', '¥146.5', '¥91.5', '', '', '', '', '', '', '¥91.5']
['D27', '天津西', '哈尔滨西', '沈阳北', '德惠西', '', '¥188.5', '¥117.5', '', '', '', '', '', '', '¥117.5']
['D27', '天津西', '哈尔滨西', '沈阳北', '哈尔滨西', '', '¥265.0', '¥166.0', '', '', '', '', '', '', '¥166.0']
['D27', '天津西', '哈尔滨西', '长春西', '德惠西', '', '¥41.5', '¥25.5', '', '', '', '', '', '', '¥25.5']
['D27', '天津西', '哈尔滨西', '长春西', '哈尔滨西', '', '¥118.5', '¥73.5', '', '', '', '', '', '', '¥73.5']
['D27', '天津西', '哈尔滨西', '德惠西', '哈尔滨西', '', '¥76.5', '¥47.5', '', '', '', '', '', '', '¥47.5']
['D28', '哈尔滨西', '天津西', '哈尔滨西', '德惠西', '', '¥76.5', '¥47.5', '', '', '', '', '', '', '¥47.5']
['D28', '哈尔滨西', '天津西', '哈尔滨西', '长春西', '', '¥118.5', '¥73.5', '', '', '', '', '', '', '¥73.5']
['D28', '哈尔滨西', '天津西', '哈尔滨西', '沈阳北', '', '¥265.0', '¥166.0', '', '', '', '', '', '', '¥166.0']
['D28', '哈尔滨西', '天津西', '哈尔滨西', '葫芦岛北', '', '¥396.5', '¥248.0', '', '', '', '', '', '', '¥248.0']
['D28', '哈尔滨西', '天津西', '哈尔滨西', '绥中北', '', '¥425.5', '¥266.5', '', '', '', '', '', '', '¥266.5']
['D28', '哈尔滨西', '天津西', '哈尔滨西', '山海关', '', '¥457.5', '¥285.5', '', '', '', '', '', '', '¥285.5']
['D28', '哈尔滨西', '天津西', '哈尔滨西', '北戴河', '', '¥476.0', '¥297.5', '', '', '', '', '', '', '¥297.5']
