['Z1', '北京西', '长沙', '北京西', '石家庄', '', '', '', '', '¥135.5', '¥135.5', '¥89.5', '', '¥43.5', '¥43.5']
['Z1', '北京西', '长沙', '北京西', '郑州', '', '', '', '', '¥251.0', '¥251.0', '¥163.0', '', '¥93.0', '¥93.0']
['Z1', '北京西', '长沙', '北京西', '武昌', '', '', '', '', '¥409.5', '¥409.5', '¥261.5', '', '¥152.5', '¥152.5']
['Z1', '北京西', '长沙', '北京西', '岳阳', '', '', '', '', '¥464.5', '¥464.5', '¥296.5', '', '¥173.5', '¥173.5']
['Z1', '北京西', '长沙', '北京西', '长沙', '', '', '', '', '¥504.5', '¥504.5', '¥322.5', '', '¥189.5', '¥189.5']
['Z1', '北京西', '长沙', '石家庄', '郑州', '', '', '', '', '¥166.5', '¥166.5', '¥110.5', '', '¥62.5', '¥62.5']
['Z1', '北京西', '长沙', '石家庄', '武昌', '', '', '', '', '¥336.0', '¥336.0', '¥215.0', '', '¥124.0', '¥124.0']
['Z1', '北京西', '长沙', '石家庄', '岳阳', '', '', '', '', '¥398.5', '¥398.5', '¥254.5', '', '¥148.5', '¥148.5']
['Z1', '北京西', '长沙', '石家庄', '长沙', '', '', '', '', '¥438.5', '¥438.5', '¥280.5', '', '¥163.5', '¥163.5']
['Z1', '北京西', '长沙', '郑州', '武昌', '', '', '', '', '¥205.0', '¥205.0', '¥133.0', '', '¥75.0', '¥75.0']
['Z1', '北京西', '长沙', '郑州', '岳阳', '', '', '', '', '¥274.0', '¥274.0', '¥178.0', '', '¥102.0', '¥102.0']
['Z1', '北京西', '长沙', '郑州', '长沙', '', '', '', '', '¥312.0', '¥312.0', '¥200.0', '', '¥115.0', '¥115.0']
['Z1', '北京西', '长沙', '武昌', '岳阳', '', '', '', '', '¥118.5', '¥118.5', '¥78.5', '', '¥32.5', '¥32.5']
['Z1', '北京西', '长沙', '武昌', '长沙', '', '', '', '', '¥152.5', '¥152.5', '¥99.5', '', '¥53.5', '¥53.5']
['Z1', '北京西', '长沙', '岳阳', '长沙', '', '', '', '', '¥104.5', '¥104.5', '¥69.5', '', '¥23.5', '¥23.5']
['Z2', '长沙', '北京西', '长沙', '岳阳', '', '', '', '', '¥104.5', '¥104.5', '¥69.5', '', '¥23.5', '¥23.5']
['Z2', '长沙', '北京西', '长沙', '武昌', '', '', '', '', '¥152.5', '¥152.5', '¥99.5', '', '¥53.5', '¥53.5']
['Z2', '长沙', '北京西', '长沙', '郑州', '', '', '', '', '¥312.0', '¥312.0', '¥200.0', '', '¥115.0', '¥115.0']
['Z2', '长沙', '北京西', '长沙', '石家庄', '', '', '', '', '¥438.5', '¥438.5', '¥280.5', '', '¥163.5', '¥163.5']
['Z2', '长沙', '北京西', '长沙', '北京西', '', '', '', '', '¥504.5', '¥504.5', '¥322.5', '', '¥189.5', '¥189.5']
['Z2', '长沙', '北京西', '岳阳', '武昌', '', '', '', '', '¥118.5', '¥118.5', '¥78.5', '', '¥32.5', '¥32.5']
['Z2', '长沙', '北京西', '岳阳', '郑州', '', '', '', '', '¥274.0', '¥274.0', '¥178.0', '', '¥102.0', '¥102.0']
['Z2', '长沙', '北京西', '岳阳', '石家庄', '', '', '', '', '¥398.5', '¥398.5', '¥254.5', '', '¥148.5', '¥148.5']
['Z2', '长沙', '北京西', '岳阳', '北京西', '', '', '', '', '¥464.5', '¥464.5', '¥296.5', '', '¥173.5', '¥173.5']
['Z2', '长沙', '北京西', '武昌', '郑州', '', '', '', '', '¥205.0', '¥205.0', '¥133.0', '', '¥75.0', '¥75.0']
['Z2', '长沙', '北京西', '武昌', '石家庄', '', '', '', '', '¥336.0', '¥336.0', '¥215.0', '', '¥124.0', '¥124.0']
['Z2', '长沙', '北京西', '武昌', '北京西', '', '', '', '', '¥409.5', '¥409.5', '¥261.5', '', '¥152.5', '¥152.5']
['Z2', '长沙', '北京西', '郑州', '石家庄', '', '', '', '', '¥166.5', '¥166.5', '¥110.5', '', '¥62.5', '¥62.5']
['Z2', '长沙', '北京西', '郑州', '北京西', '', '', '', '', '¥251.0', '¥251.0', '¥163.0', '', '¥93.0', '¥93.0']
['Z2', '长沙', '北京西', '石家庄', '北京西', '', '', '', '', '¥135.5', '¥135.5', '¥89.5', '', '¥43.5', '¥43.5']
['Z3', '北京西', '重庆北', '北京西', '石家庄', '', '', '', '', '¥135.5', '¥135.5', '¥89.5', '', '¥43.5', '¥43.5']
['Z3', '北京西', '重庆北', '北京西', '郑州', '', '', '', '', '¥251.0', '¥251.0', '¥163.0', '', '¥93.0', '¥93.0']
['Z3', '北京西', '重庆北', '北京西', '汉口', '', '', '', '', '¥409.5', '¥409.5', '¥261.5', '', '¥152.5', '¥152.5']
['Z3', '北京西', '重庆北', '北京西', '荆州', '', '', '', '', '¥464.5', '¥464.5', '¥296.5', '', '¥173.5', '¥173.5']
['Z3', '北京西', '重庆北', '北京西', '宜昌东', '', '', '', '', '¥476.5', '¥476.5', '¥304.5', '', '¥177.5', '¥177.5']
['Z3', '北京西', '重庆北', '北京西', '恩施', '', '', '', '', '¥530.0', '¥530.0', '¥337.0', '', '¥198.0', '¥198.0']
['Z3', '北京西', '重庆北', '北京西', '重庆北', '', '', '', '', '¥613.0', '¥613.0', '¥389.0', '', '¥229.0', '¥229.0']
['Z3', '北京西', '重庆北', '石家庄', '郑州', '', '', '', '', '¥166.5', '¥166.5', '¥110.5', '', '¥62.5', '¥62.5']
['Z3', '北京西', '重庆北', '石家庄', '汉口', '', '', '', '', '¥324.0', '¥324.0', '¥207.0', '', '¥119.0', '¥119.0']
['Z3', '北京西', '重庆北', '石家庄', '荆州', '', '', '', '', '¥381.5', '¥381.5', '¥244.5', '', '¥141.5', '¥141.5']
['Z3', '北京西', '重庆北', '石家庄', '宜昌东', '', '', '', '', '¥409.5', '¥409.5', '¥261.5', '', '¥152.5', '¥152.5']
['Z3', '北京西', '重庆北', '石家庄', '恩施', '', '', '', '', '¥464.5', '¥464.5', '¥296.5', '', '¥173.5', '¥173.5']
['Z3', '北京西', '重庆北', '石家庄', '重庆北', '', '', '', '', '¥542.0', '¥542.0', '¥343.0', '', '¥201.0', '¥201.0']
['Z3', '北京西', '重庆北', '郑州', '汉口', '', '', '', '', '¥197.0', '¥197.0', '¥129.0', '', '¥72.0', '¥72.0']
['Z3', '北京西', '重庆北', '郑州', '荆州', '', '', '', '', '¥263.0', '¥263.0', '¥171.0', '', '¥98.0', '¥98.0']
['Z3', '北京西', '重庆北', '郑州', '宜昌东', '', '', '', '', '¥285.0', '¥285.0', '¥184.0', '', '¥105.0', '¥105.0']
['Z3', '北京西', '重庆北', '郑州', '恩施', '', '', '', '', '¥360.5', '¥360.5', '¥232.5', '', '¥135.5', '¥135.5']
['Z3', '北京西', '重庆北', '郑州', '重庆北', '', '', '', '', '¥450.5', '¥450.5', '¥288.5', '', '¥168.5', '¥168.5']
['Z3', '北京西', '重庆北', '汉口', '荆州', '', '', '', '', '¥118.5', '¥118.5', '¥78.5', '', '¥32.5', '¥32.5']
['Z3', '北京西', '重庆北', '汉口', '宜昌东', '', '', '', '', '¥135.5', '¥135.5', '¥89.5', '', '¥43.5', '¥43.5']
['Z3', '北京西', '重庆北', '汉口', '恩施', '', '', '', '', '¥197.0', '¥197.0', '¥129.0', '', '¥72.0', '¥72.0']
['Z3', '北京西', '重庆北', '汉口', '重庆北', '', '', '', '', '¥301.0', '¥301.0', '¥194.0', '', '¥112.0', '¥112.0']
['Z3', '北京西', '重庆北', '荆州', '宜昌东', '', '', '', '', '¥90.5', '¥90.5', '¥60.5', '', '¥14.5', '¥14.5']
['Z3', '北京西', '重庆北', '荆州', '恩施', '', '', '', '', '¥140.5', '¥140.5', '¥92.5', '', '¥46.5', '¥46.5']
['Z3', '北京西', '重庆北', '荆州', '重庆北', '', '', '', '', '¥243.0', '¥243.0', '¥158.0', '', '¥91.0', '¥91.0']
['Z3', '北京西', '重庆北', '宜昌东', '恩施', '', '', '', '', '¥118.5', '¥118.5', '¥78.5', '', '¥32.5', '¥32.5']
['Z3', '北京西', '重庆北', '宜昌东', '重庆北', '', '', '', '', '¥214.0', '¥214.0', '¥139.0', '', '¥78.0', '¥78.0']
