E:/PythonProject/get12306/get_all_train.py:28: DeprecationWarning: use options instead of chrome_options
  browser = webdriver.Chrome(chrome_options=chrome_options)
['4017', '桦南', '佳木斯', '桦南', '孟家岗', '', '', '', '', '?78.0', '?53.0', '', '?7.0', '?7.0']
['4017', '桦南', '佳木斯', '桦南', '申家店', '', '', '', '', '?81.5', '?55.0', '', '?9.0', '?9.0']
['4017', '桦南', '佳木斯', '桦南', '长发屯', '', '', '', '', '?85.5', '?56.5', '', '?10.5', '?10.5']
['4017', '桦南', '佳木斯', '桦南', '佳木斯', '', '', '', '', '?87.5', '?56.5', '', '?10.5', '?10.5']
['4017', '桦南', '佳木斯', '孟家岗', '申家店', '', '', '', '', '?76.0', '?52.0', '', '?6.0', '?6.0']
['4017', '桦南', '佳木斯', '孟家岗', '长发屯', '', '', '', '', '?81.5', '?55.0', '', '?9.0', '?9.0']
['4017', '桦南', '佳木斯', '孟家岗', '佳木斯', '', '', '', '', '?84.5', '?55.0', '', '?9.0', '?9.0']
['4017', '桦南', '佳木斯', '申家店', '长发屯', '', '', '', '', '?78.0', '?53.0', '', '?7.0', '?7.0']
['4017', '桦南', '佳木斯', '申家店', '佳木斯', '', '', '', '', '?79.5', '?53.0', '', '?7.0', '?7.0']
['4017', '桦南', '佳木斯', '长发屯', '佳木斯', '', '', '', '', '?76.0', '?52.0', '', '?6.0', '?6.0']
['4018', '佳木斯', '桦南', '佳木斯', '桦南', '', '', '', '', '?87.5', '?56.5', '', '?10.5', '?10.5']
['4031', '五常', '哈尔滨东', '五常', '安家', '', '', '', '', '?76.0', '?52.0', '', '?6.0', '?6.0']
['4031', '五常', '哈尔滨东', '五常', '背荫河', '', '', '', '', '?79.5', '?53.0', '', '?7.0', '?7.0']
['4031', '五常', '哈尔滨东', '五常', '拉林', '', '', '', '', '?81.5', '?55.0', '', '?9.0', '?9.0']
['4031', '五常', '哈尔滨东', '五常', '牛家', '', '', '', '', '?84.5', '?55.0', '', '?9.0', '?9.0']
['4031', '五常', '哈尔滨东', '五常', '周家', '', '', '', '', '?87.5', '?56.5', '', '?10.5', '?10.5']
['4031', '五常', '哈尔滨东', '五常', '平房', '', '', '', '', '?88.5', '?58.5', '', '?12.5', '?12.5']
['4031', '五常', '哈尔滨东', '五常', '孙家', '', '', '', '', '?94.5', '?60.5', '', '?14.5', '?14.5']
['4031', '五常', '哈尔滨东', '五常', '哈尔滨东', '', '', '', '', '?95.5', '?62.5', '', '?16.5', '?16.5']
['4031', '五常', '哈尔滨东', '安家', '背荫河', '', '', '', '', '?76.0', '?52.0', '', '?6.0', '?6.0']
